,Total_Score,Max_Possible_Score,Score_Percentage,Average_Score_Per_Function,Rank
LLM-SHADE,23.92319140247347,24,99.68,0.9968,1
Ensembled_HeuristicAlgorithm,23.673682569118927,24,98.64,0.9864,2
Ensembled_Seed,23.673682569118927,24,98.64,0.9864,2
AdaptiveIslandDE,23.503404430651386,24,97.93,0.9793,4
LLM-Driven_Evolution_of_Metaheuristic_Components_V2,23.438942758575664,24,97.66,0.9766,5
AMMS-PGSE,23.43262374445797,24,97.64,0.9764,6
HybridFireflyDE,23.251772212536018,24,96.88,0.9688,7
AdaSwarmD,23.230805195770163,24,96.8,0.968,8
EASE-ing_into_Global_Optimization,22.926862525923084,24,95.53,0.9553,9
Adaptive_Evolutionary_Algorithm_with_Local_Search,22.87284193037763,24,95.3,0.953,10
AEEA,22.3785933076868,24,93.24,0.9324,11
Vortex_Search,21.5934595351073,24,89.97,0.8997,12
LLM-Enhanced_Genetic_Algorithm,17.9429116082042,24,74.76,0.7476,13
LLM_based_GA_with_Adaptive_Strategies,13.48483740432441,24,56.19,0.5619,14
MSHO-LLM,12.95349289228609,24,53.97,0.5397,15
Entropy-Driven_Quantum-Inspired_Optimization,11.079693521490848,24,46.17,0.4617,16
