,AdaptiveIslandDE,Adaptive_Evolutionary_Algorithm_with_Local_Search,AdaSwarmD,AEEA,AMMS-PGSE,EASE-ing_into_Global_Optimization,Ensembled_HeuristicAlgorithm,Ensembled_Seed,Entropy-Driven_Quantum-Inspired_Optimization,HybridFireflyDE,LLM-Driven_Evolution_of_Metaheuristic_Components_V2,LLM-Enhanced_Genetic_Algorithm,LLM-SHADE,LLM_based_GA_with_Adaptive_Strategies,MSHO-LLM,Vortex_Search
1,-1081.9837993922297,-1081.9837993994013,-1081.7197381100175,-1081.9837353151847,-1081.98379940034,-1081.9837994003396,-1081.9837994003367,-1081.9837994003367,3013.5892112125384,-1081.9837994003396,-1081.9837994003396,-1081.9837989740456,-1081.9837994003396,-1066.443615,-1081.9837993996084,-1081.537989353148
2,-702.9669053779694,-702.8337949856385,-703.1328146165181,-702.5159877869548,-703.1328146165181,-702.9547758837912,-702.8666719872084,-702.8666719872084,-7.082265083261675,-703.0480575374859,-703.1328146165181,-702.8296190778441,-703.1328146165181,-701.4940113225805,-702.8666719872084,-702.1709568211413
3,-357.5797495832207,-357.5795610784279,-357.579749590372,-357.5785703315834,-357.579749590372,-357.5797495898964,-357.5797486629508,-357.5797486629508,-49.07558303511624,-357.5765666952108,-357.579749590372,-337.2253960557853,-357.579749590372,-353.2188394838709,-357.5797486611064,2134287.169201883
4,-382.6205211675482,-382.6202505755618,-382.4793373064592,661738.3912647788,-382.620521177427,-382.6205211774263,-382.6205211774179,-382.6205211774179,,-382.620521177427,-382.620521177427,-382.6204773957076,-382.620521177427,-376.61971648387095,728183.3827722411,-378.5014272572995
5,-337.4555282867167,-336.0341379305424,-336.26857229106866,-335.9292247427776,-337.0919448919283,-336.80855541708377,-337.00161637541737,-337.00161637541737,396221.80556955386,-336.24967626010107,-337.4558782272133,-336.1860887107556,-337.4602883965526,-334.3007603548388,-334.03549663637546,-335.47082795290225
6,-185.62771637782367,-185.00723592873604,-185.47245965552796,-185.05805395846295,-185.61348691927,-185.60385163209227,-185.60279628623437,-185.60279628623437,,-185.54623912230207,-186.0855725324342,-185.48844488668067,-186.5618098974633,-183.75160464516128,-183.3922202738123,-184.82453102569644
7,-912.8573739653008,-906.2653508036916,-912.8454126840146,-912.8572922531184,-912.8573739743372,-912.8573739681692,-912.857373974334,-912.857373974334,-791.4739584596123,-912.8573739743372,-912.8573739743372,-447.4527755095346,-912.8573739743372,-894.5511581290323,-912.8573308699264,-910.5116383309468
8,-656.7889979845557,-656.7889978671714,-656.7838076709847,-656.7889174739116,-656.7889979935652,-656.7889979826779,-656.7889979935617,-656.7889979935617,-316.00418808952173,-656.7889979935653,-656.7889979935653,-57.85814382181936,-656.7889979935653,-646.5017267741935,-656.7889979870646,-654.1081669568609
9,-748.2244231453149,80.1894262953713,-884.0207644404791,-812.2320962514339,-884.7360096013401,877.660699090754,-884.7360096015187,-884.7360096015187,,-806.1891607395113,-458.0544273549707,1936.410863009434,-884.7360096017692,514.7650446451613,-884.7360095928899,830.9960381144579
10,-604.9748272131914,-604.9748260174199,-604.9698046415823,-604.8384352947671,-604.9748272222275,-604.974825201016,-604.974827222224,-604.974827222224,-59.3567064087178,-604.9748272222275,-604.9748272222275,1306.443552419804,-604.9748272222275,-593.9038781612904,-604.9743829755671,-593.60472128179
11,-117.09511080850976,-118.0083847041988,-117.6955672510194,-82.58797687853003,-118.07535757360012,-118.07534655342542,-118.07535757359685,-118.07535757359685,419488491.4354763,-82.62563833585808,-118.0753575736,1856.5146339250848,-118.0753575736,,166225.77673333968,-109.93799013054668
12,-1001.807755767284,-997.5715490598104,-1002.0024335400508,-988.3077304458689,-1002.479078701341,-1002.4790712663344,-1002.4790787013378,-1002.4790787013378,16750.547667477666,-924.5001399626312,-1002.479078701341,1149.1286141365356,-1002.479078701341,-559.3498388064517,162732.4539143226,-993.1380219745696
13,22739.95067660095,44610.779366667375,-215.15981570907007,6546.729399209488,3744.509332647217,28336.50884754924,1416.2342593365677,1416.2342593365677,-54.933505125230994,3825.903666040284,4520.1122764278925,2831.935082807156,-136.036755160683,,1269447.0578969384,1388.3833326341323
14,-33.35052196657588,1193.8170309026448,-193.0518774164732,460.07852323575776,-23.31405228039005,-112.58842119126064,-188.9877161914827,-188.9877161914827,1524210.1439690476,1374.5717486364304,-66.83207887529609,8575.903812049915,-121.1818275132474,,68422.55964717397,381.98118173725743
15,-226.93154317369965,-226.53143062048656,-228.2247214397773,-227.9981373506216,-228.17599216293917,-227.0054869127072,-228.22099976159757,-228.22099976159757,189855275.84202248,-228.41865765235795,-228.3237146959498,-228.10624097958268,-228.79634582687413,,-222.6506739051364,-228.36737638160895
16,-4999.999995061228,-4488.6296359048965,-4440.151612903224,-4926.745083667474,-4400.699999999999,-4603.706451612902,-4999.999999999997,-4999.999999999997,-4106.279349836524,-4424.364516129031,-4392.516129032256,-4452.883870249168,-5000.0,-863.1455347419356,-4999.999999993884,-4691.576334957653
17,-4321.330111387132,-3864.389422849568,-4999.471406451612,-4423.672040445219,-4405.459275112937,-4439.725804746418,-4938.757217177942,-4938.757217177942,-4374.18377578208,-4462.974963493225,-4436.019354838706,-4382.754616723635,-5000.0,-228.86863509677423,6002389.698054413,-3817.779350037284
18,-4987.889470496436,-4599.572540889732,-4999.2453903225805,-4448.721633106645,-4401.664516129031,-4540.5967741935465,-4528.356410256406,-4528.356410256406,-4030.9148192630937,-3831.990486496773,-4437.890322580643,5040.837421997296,-5000.0,-533.2069698064516,127842.29053637276,-4531.676021074153
19,-4912.417971160702,-4251.31233031696,-4998.85355483871,-4484.613163151686,-4472.612903225806,-4520.709668665992,-4408.523529411759,-4408.523529411759,889.5903928836188,-4242.144613818064,-4502.903225806451,10239.007267397315,-5000.0,-752.5470853870968,157414.0873066097,-4440.254608558155
20,-99.99999824488988,-99.94796248161398,-91.48835483870968,-98.22534865116148,-99.99188085061542,-99.99958940927964,-99.99862318679013,-99.99862318679013,29002.4030928177,-98.26547384290322,-100.0,-93.56429822414518,-100.0,,-79.40263918820705,-99.02386112980484
