,Total_Score,Max_Possible_Score,Score_Percentage,Average_Score_Per_Function,Rank
AEEA,19.603878798739515,24,81.68,0.8168,1
MSHO-LLM,19.410720631575643,24,80.88,0.8088,2
LLM-SHADE,19.342114738052842,24,80.59,0.8059,3
Ensembled_HeuristicAlgorithm,19.249442880391477,24,80.21,0.8021,4
Ensembled_Seed,19.249442880391477,24,80.21,0.8021,4
AdaSwarmD,19.215866062693095,24,80.07,0.8007,6
AMMS-PGSE,18.855215728529647,24,78.56,0.7856,7
LLM-Driven_Evolution_of_Metaheuristic_Components_V2,18.714848014604843,24,77.98,0.7798,8
AdaptiveIslandDE,18.58823962937175,24,77.45,0.7745,9
LLM_based_GA_with_Adaptive_Strategies,18.41779642840128,24,76.74,0.7674,10
EASE-ing_into_Global_Optimization,17.85059254328049,24,74.38,0.7438,11
HybridFireflyDE,17.688526398566005,24,73.7,0.737,12
Adaptive_Evolutionary_Algorithm_with_Local_Search,17.494656039741752,24,72.89,0.7289,13
Vortex_Search,17.22687831388164,24,71.78,0.7178,14
LLM-Enhanced_Genetic_Algorithm,12.443534559592475,24,51.85,0.5185,15
Entropy-Driven_Quantum-Inspired_Optimization,11.832785474947995,24,49.3,0.493,16
