,AdaptiveIslandDE,Adaptive_Evolutionary_Algorithm_with_Local_Search,AdaSwarmD,AEEA,AMMS-PGSE,EASE-ing_into_Global_Optimization,Ensembled_HeuristicAlgorithm,Ensembled_Seed,Entropy-Driven_Quantum-Inspired_Optimization,HybridFireflyDE,LLM-Driven_Evolution_of_Metaheuristic_Components_V2,LLM-Enhanced_Genetic_Algorithm,LLM-SHADE,LLM_based_GA_with_Adaptive_Strategies,MSHO-LLM,Vortex_Search
1,-1081.9837993922297,-1081.9837993994013,-1081.7197381100175,-1081.983735315185,-1081.9837994003396,-1081.9837994003396,-1081.9837990000003,-1081.9837990000003,3013.5892112125384,-1081.9837994003396,-1081.9837994003396,-1081.9837989740456,-1081.9837994003396,-1066.443615,-1081.9837994003396,-1081.537989353148
2,-702.9669053779694,-702.8340126444247,-703.1328146165181,-702.5159877869548,-703.1328146165181,-702.9547758837912,-703.1328150000003,-703.1328150000003,-7.082265083261675,-703.0480575374859,-703.1328146165181,-702.8296190778441,-703.1328146165181,-701.4940113225805,-703.1190242939375,-702.1709568211413
3,-357.5797495832207,-357.57956110697904,-357.579749590372,-357.57857033158336,-357.579749590372,-357.5797495898964,-357.5797500000002,-357.5797500000002,-49.07558303511624,-357.5765666952108,-357.579749590372,-337.2253960557853,-357.579749590372,-353.2188394838709,-357.579749590372,2134287.169201883
4,-382.6205211675482,-382.62025057555127,-382.4793373064592,,-382.620521177427,-382.6205211774263,-382.62052100000017,-382.62052100000017,,-382.620521177427,-382.620521177427,-382.6204773957076,-382.620521177427,-376.61971648387095,-382.620521177427,-378.5014272572995
5,-337.4555282867167,-336.0341379322742,-336.26857229106866,-335.9292247427776,-337.0919448919283,-336.80855541708377,-337.50899799999985,-337.50899799999985,396221.80556955386,-336.24967626010107,-337.4558782272133,-336.1860887107556,-337.4602883965526,-334.3007603548388,-337.47351745235915,-335.47082795290225
6,-185.62771637782367,-185.00723592895972,-185.47245965552796,-185.05805395846292,-185.61348691927,-185.60385163209227,-185.6027962258064,-185.6027962258064,,-185.54623912230207,-186.0855725324342,-185.48844488668067,-186.5618098974633,-183.75160464516128,-186.86405320391503,-184.82453102569644
7,-912.8573739653008,-906.2653508036892,-912.8454126840146,-912.8572922531184,-912.8573739743372,-912.8573739681692,-912.8573739999998,-912.8573739999998,-791.4739584596123,-912.8573739743372,-912.8573739743372,-447.4527755095346,-912.8573739743372,-894.5511581290323,-912.8573320388532,-910.5116383309468
8,-656.7889979845557,-656.7889978671994,-656.7838076709847,-656.7889174739116,-656.7889979935652,-656.7889979826779,-656.788998,-656.788998,-316.00418808952173,-656.7889979935653,-656.7889979935653,-57.85814382181936,-656.7889979935653,-646.5017267741935,-656.7889979935653,-654.1081669568609
9,-748.2244231453149,80.18942656400222,-884.0207644404791,-812.2320962514339,-884.7360096013401,877.660699090754,-884.73601,-884.73601,,-806.1891607395113,-458.0544273549707,1936.410863009434,-884.7360096017692,514.7650446451613,-884.7360096017693,830.9960381144579
10,-604.9748272131914,-604.974826017443,-604.9698046415823,-604.8384352947671,-604.9748272222275,-604.974825201016,-604.9748269999998,-604.9748269999998,-59.3567064087178,-604.9748272222275,-604.9748272222275,1306.443552419804,-604.9748272222275,-593.9038781612904,-604.9743820609372,-593.60472128179
11,-117.09511080850976,-118.00838470592622,-117.6955672510194,-82.58797687853001,-118.0753575736,-118.07534655342542,-118.075358,-118.075358,419488491.4354763,-82.62563833585808,-118.0753575736,1856.5146339250848,-118.0753575736,,-118.0753575736,-109.93799013054668
12,-1001.807755767284,-997.5715490617904,-1002.0024335400508,-988.3077304458689,-1002.479078701341,-1002.4790712663344,-1002.4790790000002,-1002.4790790000002,16750.547667477666,-924.5001399626312,-1002.479078701341,1149.1286141365356,-1002.479078701341,-559.3498388064517,-1002.479078701341,-993.1380219745696
13,22739.95067660095,44610.77963238004,-215.15981570907007,6546.729399209479,3744.509332647208,28336.50884754924,1416.2342591935487,1416.2342591935487,-54.933505125230994,3825.903666040284,4520.1122764278925,2831.935082807156,-136.036755160683,,-216.72769635423148,1388.3833326341323
14,-33.35052196657588,1193.8170339200735,-193.0518774164732,460.0785232357578,-23.31405228039005,-112.58842119126064,-188.9877167741936,-188.9877167741936,1524210.1439690476,1374.5717486364304,-66.83207887529609,8575.903812049915,-121.1818275132474,,-194.0381935455054,381.98118173725743
15,-226.93154317369965,-226.5314306187612,-228.2247214397773,-227.9981373506216,-228.17599216293917,-227.0054869127072,-228.2209997666667,-228.2209997666667,189855275.84202248,-228.41865765235795,-228.3237146959498,-228.10624097958268,-228.79634582687413,,-234.25080208493853,-228.36737638160895
16,-4999.999995061228,-4488.629635905142,-4440.151612903224,-4926.745083667474,-4400.699999999999,-4603.706451612902,-5000.0,-5000.0,-4106.279349836524,-4424.364516129031,-4392.516129032256,-4452.883870249168,-5000.0,-863.1455347419356,-5000.0,-4691.576334957653
17,-4321.330111387132,-3864.3894229202992,-4999.471406451612,-4423.672040445219,-4405.459275112937,-4439.725804746418,-4938.757217096774,-4938.757217096774,-4374.18377578208,-4462.974963493225,-4436.019354838706,-4382.754616723635,-5000.0,-228.86863509677423,-5000.0,-3817.779350037284
18,-4987.889470496436,-4599.572540860517,-4999.2453903225805,-4448.721633106645,-4401.664516129031,-4540.5967741935465,-4528.356410256409,-4528.356410256409,-4030.9148192630937,-3831.990486496773,-4437.890322580643,5040.837421997296,-5000.0,-533.2069698064516,-5000.0,-4531.676021074153
19,-4912.417971160702,-4251.3123308639415,-4998.85355483871,-4484.613163151686,-4472.612903225806,-4520.709668665992,-4408.523529411765,-4408.523529411765,889.5903928836188,-4242.144613818064,-4502.903225806451,10239.007267397315,-5000.0,-752.5470853870968,-5000.0,-4440.254608558155
20,-99.99999824488988,-99.94796475713736,-91.48835483870968,-98.22534865116148,-99.99188085061542,-99.99958940927964,-100.0,-100.0,29002.4030928177,-98.26547384290322,-100.0,-93.56429822414518,-100.0,,-100.0,-99.02386112980484
21,-44.99999999417438,-44.99999991279612,-42.25356451612904,-44.85752077339325,-44.99999999999999,-44.99999999999997,-45.0,-45.0,,-44.397715471612905,-44.99999999999999,5.263147854048547e-06,-45.0,,-50.0,-44.73122160767784
