x_value,mean
1,-1081.983735315185
2,-702.5159877869548
3,-357.57857033158336
4,-1081.983733284648
5,-335.9292247427776
6,-185.05805395846295
7,-912.8572922531185
8,-656.7889174739116
9,-812.2320962514339
10,-604.8384352947671
11,-82.58797687853001
12,-988.3077304458687
13,6546.729399209479
14,460.0785232357578
15,-227.99813735062162
16,-4926.745083667474
17,-4423.672040445219
18,-4448.721633106645
19,-4484.613163151686
20,-98.22534865116148
21,-44.857520773393254
22,1551.9458092775392
23,-99.86196704447845
24,-50.734565369576515
