x_value,mean
1,-1081.7197381100175
2,-703.1328146165181
3,-357.579749590372
4,-382.47933730645923
5,-336.26857229106866
6,-185.47245965552793
7,-912.8454126840146
8,-656.7838076709847
9,-884.0207644404791
10,-604.9698046415823
11,-117.69556725101941
12,-1002.0024335400508
13,-215.15981570907007
14,-193.05187741647322
15,-228.2247214397773
16,-4440.151612903224
17,-4999.471406451612
18,-4999.2453903225805
19,-4998.85355483871
20,-91.48835483870968
21,-42.25356451612904
22,-999.2131677419354
23,-68.29241290322581
24,-99.27629354838712
