x_value,mean
1,-1081.9837994003396
2,-702.9547758837912
3,-357.5797495898964
4,-382.62052117742627
5,-336.80855541708377
6,-185.60385163209227
7,-912.8573739681691
8,-656.7889979826779
9,877.660699090754
10,-604.974825201016
11,-118.07534655342542
12,-1002.4790712663345
13,28336.508847549238
14,-112.58842119126064
15,-227.00548691270717
16,-4603.706451612902
17,-4439.725804746418
18,-4540.5967741935465
19,-4520.709668665992
20,-99.99958940927965
21,-44.99999999999997
22,-872.780303439046
23,-99.99999828198098
24,-93.47726516661506
