x_value,mean
1,3013.5892112125384
2,-7.082265083261675
3,-49.07558303511624
4,-828.9102864530729
5,396221.80556955386
6,-334.60197260421216
7,-791.4739584596123
8,-316.00418808952173
9,-1016.2301165757115
10,-59.3567064087178
11,419488491.4354763
12,16750.547667477666
13,-54.933505125230994
14,1524210.1439690476
15,189855275.84202248
16,-4106.279349836524
17,-4374.18377578208
18,-4030.9148192630937
19,889.5903928836188
20,27088.52476357258
21,-856.2726544344761
22,716.6611639602766
23,-53.33757573751005
24,-93.26503015015162
