x_value,mean
1,-1081.9837993994013
2,-702.8340126444247
3,-357.57956110697904
4,-382.62025057555127
5,-336.0341379322742
6,-185.00723592895974
7,-906.2653508036893
8,-656.7889978671994
9,80.18942656400222
10,-604.974826017443
11,-118.00838470592622
12,-997.5715490617903
13,44610.77963238004
14,1193.8170339200735
15,-226.53143061876116
16,-4488.629635905142
17,-3864.3894229202992
18,-4599.572540860517
19,-4251.3123308639415
20,-99.94796475713736
21,-44.99999991279612
22,-668.5636099843534
23,-99.99304043141335
24,-68.26060326077146
