x_value,mean
1,-1081.9837994003396
2,-703.1328146165181
3,-357.579749590372
4,-382.620521177427
5,-337.4558782272133
6,-186.0855725324342
7,-912.8573739743372
8,-656.7889979935653
9,-458.0544273549707
10,-604.9748272222275
11,-118.0753575736
12,-1002.479078701341
13,4520.1122764278925
14,-66.83207887529609
15,-228.3237146959498
16,-4392.516129032256
17,-4436.019354838706
18,-4437.890322580643
19,-4502.903225806451
20,-100.0
21,-44.99999999999999
22,-949.9969622257622
23,-100.0
24,-71.14429900165247
