x_value,mean
1,-1081.9837989740456
2,-702.8296190778441
3,-337.2253960557853
4,-382.6204773957076
5,-336.1860887107556
6,-185.48844488668067
7,-447.4527755095346
8,-57.858143821819354
9,1936.410863009434
10,1306.443552419804
11,1856.5146339250846
12,1149.1286141365356
13,2831.9350828071556
14,8575.903812049915
15,-228.10624097958268
16,-4452.883870249168
17,-4382.754616723635
18,5040.837421997296
19,10239.007267397317
20,-93.56429822414518
21,5.263147854048547e-06
22,6.059790007225687e-06
23,1.418780785369343e-05
24,1.6789813407915498e-05
