1	-16.215,82.969,-27.521,16.118,26.453
2	-97.381,32.707,-64.393,92.214,-70.267
3	-17.075,-82.930,99.375,0.439,19.077
4	-86.585,49.992,-58.019,79.611,-58.972
5	-61.862,-92.690,-5.587,12.968,-86.858
6	55.106,-9.342,4.878,-11.847,-19.847
7	11.928,-68.952,-63.614,72.357,89.223
8	-25.338,-45.851,28.800,-18.253,-94.923
9	-68.769,43.194,31.785,-94.581,-55.606
10	-53.785,34.379,-96.058,-79.178,59.983
11	-64.291,30.549,-52.363,-80.112,-51.366
12	44.453,71.139,66.044,-20.563,33.617
13	-59.003,-41.370,79.267,-97.400,-82.898
14	-58.423,-94.694,-63.713,16.608,-15.715
15	78.534,63.489,-31.637,-48.115,-24.062
16	18.059,-46.387,24.830,-18.118,10.409
17	-12.775,-41.107,89.691,52.721,-71.977
18	73.694,-2.514,78.910,59.971,-14.957
19	-95.506,-46.265,8.327,26.696,-48.422
20	-72.129,66.986,96.880,5.138,-65.664
21	-45.539,-96.322,82.860,-76.450,15.303
22	-45.189,10.836,30.284,65.948,-58.716
23	-97.801,-72.623,80.004,74.778,19.483
24	20.103,33.007,-64.926,82.882,-16.246
25	-23.372,3.784,-90.607,-66.743,47.607
26	-83.440,20.630,-50.930,-22.141,-42.261
27	-28.865,43.809,-40.576,13.281,-4.790
28	32.734,87.366,46.514,-57.012,-93.763
29	-47.547,19.016,-89.715,-0.727,19.369
30	-33.151,54.182,-78.680,-84.972,45.638
31	-0.902,37.680,-13.035,-50.720,63.820
