x_value,mean
1,-1081.9837993996084
2,-702.8666719872084
3,-357.5797486611064
4,728183.3827722411
5,-334.03549663637546
6,-183.3922202738123
7,-912.8573308699265
8,-656.7889979870646
9,-884.7360095928899
10,-604.9743829755671
11,166225.77673333968
12,162732.4539143226
13,1269447.0578969384
14,68422.55964717397
15,-222.65067390513636
16,-4999.999999993884
17,6002389.698054413
18,127842.29053637275
19,157414.0873066097
20,-79.40263918820705
21,252.3673528394266
22,680445.7264528356
23,13.131726325436734
24,178.04289620953494
