x_value,mean
1,-1081.9837994003396
2,-703.0480575374859
3,-357.5765666952108
4,-382.620521177427
5,-336.24967626010107
6,-185.54623912230207
7,-912.8573739743372
8,-656.7889979935653
9,-806.1891607395113
10,-604.9748272222275
11,-82.62563833585808
12,-924.5001399626312
13,3825.903666040284
14,1374.5717486364304
15,-228.41865765235795
16,-4424.364516129031
17,-4462.974963493225
18,-3831.990486496773
19,-4242.144613818064
20,-98.26547384290322
21,-44.397715471612905
22,9440.734048644515
23,-99.55880530322581
24,-37.9443558051613
