x_value,mean
1,-1066.443615
2,-701.4940113225805
3,-353.2188394838709
4,-376.61971648387095
5,-334.30076035483876
6,-183.75160464516128
7,-894.5511581290323
8,-646.5017267741935
9,514.7650446451613
10,-593.9038781612904
11,-443.1857853870968
12,-559.3498388064517
13,-776.8194819032257
14,-315.51112080645163
15,-641.9019498709678
16,-863.1455347419356
17,-228.86863509677423
18,-533.2069698064516
19,-752.5470853870968
20,-426.16093641935487
21,-685.6237690645164
22,-505.24614270967726
23,-819.9428089354839
24,-369.44980767741936
