x_value,mean
1,-1081.5379893531479
2,-702.1709568211413
3,2134287.169201883
4,-378.5014272572995
5,-335.47082795290225
6,-184.82453102569644
7,-910.5116383309469
8,-654.1081669568609
9,830.9960381144579
10,-593.60472128179
11,-109.93799013054667
12,-993.1380219745696
13,1388.3833326341323
14,381.98118173725743
15,-228.36737638160898
16,-4691.576334957653
17,-3817.7793500372836
18,-4531.676021074153
19,-4440.254608558155
20,-99.02386112980483
21,-44.73122160767784
22,-887.3010889451401
23,-98.9793920931727
24,-60.52027482694026
